,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,"Lr = 0.1, num_epochs = 40","Lr = , num_epochs = ",,,,,,,,,,,,,,,,,,,
,"[0.7669172932330827, 0.5388471177944862, 0.5588972431077694, 0.8922305764411027, 0.7280701754385965, 0.9022556390977443, 0.9160401002506265, 0.8909774436090225, 0.9060150375939849, 0.8070175438596491, 0.8659147869674185, 0.9060150375939849, 0.550125313283208, 0.9097744360902256, 0.9122807017543859, 0.9160401002506265, 0.7744360902255639, 0.9172932330827067, 0.9235588972431078, 0.8947368421052632]","[0.5388471177944862, 0.5375939849624061, 0.5375939849624061, 0.5375939849624061, 0.5375939849624061, 0.5375939849624061, 0.5526315789473685, 0.5375939849624061, 0.5476190476190477, 0.5375939849624061, 0.5375939849624061, 0.5388471177944862, 0.5388471177944862, 0.550125313283208, 0.5162907268170426, 0.5338345864661654, 0.5363408521303258, 0.5451127819548872, 0.5526315789473685, 0.531328320802005]","[0.5413533834586466, 0.5639097744360902, 0.5350877192982456, 0.5426065162907269, 0.5488721804511278, 0.5375939849624061, 0.5363408521303258, 0.5513784461152882, 0.5451127819548872, 0.5375939849624061, 0.5375939849624061, 0.5350877192982456, 0.5363408521303258, 0.5488721804511278, 0.5401002506265664, 0.543859649122807, 0.5513784461152882, 0.5388471177944862, 0.5614035087719298, 0.5463659147869674]","[0.5576441102756893, 0.5375939849624061, 0.5288220551378446, 0.5275689223057645, 0.5175438596491229, 0.5375939849624061, 0.5651629072681704, 0.5275689223057645, 0.5375939849624061, 0.5275689223057645, 0.5375939849624061, 0.5375939849624061, 0.5375939849624061, 0.5739348370927319, 0.5375939849624061, 0.5375939849624061, 0.5375939849624061, 0.5426065162907269, 0.5375939849624061, 0.5350877192982456]",,,,,,,,,,,,,,,,,
Average,0.823872180451128,0.539160401002506,0.543984962406015,0.538972431077694,,,,,,,,,,,,,,,,,
