ffspring = [0, 1, 1, 1, 1, 1, 1, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7916666865348816
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.8177083134651184
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7916666865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 1, 1, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.796875
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.734375
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.7760416865348816
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.734375
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.71875
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7604166865348816
